timestamp,center_x,center_y
2026-03-04 15:14:11.738,337.84,404.33
2026-03-04 15:14:12.347,55.56,408.71
2026-03-04 15:14:12.513,68.77,413.78
2026-03-04 15:14:12.849,723.60,262.24
2026-03-04 15:14:12.932,327.38,336.49
2026-03-04 15:14:13.016,683.78,254.81
2026-03-04 15:14:13.191,571.72,223.09
2026-03-04 15:14:14.046,409.05,212.62
2026-03-04 15:14:14.144,407.36,205.71
2026-03-04 15:14:14.312,488.03,239.63
2026-03-04 15:14:14.508,512.33,328.39
2026-03-04 15:14:14.591,453.26,344.25
2026-03-04 15:14:14.674,458.33,342.90
2026-03-04 15:14:14.760,429.30,326.02
2026-03-04 15:14:14.844,419.18,309.83
2026-03-04 15:14:14.926,407.70,294.30
2026-03-04 15:14:15.011,403.31,292.28
2026-03-04 15:14:15.104,399.26,297.00
2026-03-04 15:14:15.194,438.75,335.48
2026-03-04 15:14:15.278,454.95,331.09
2026-03-04 15:14:15.363,461.70,340.88
2026-03-04 15:14:15.456,466.76,316.24
2026-03-04 15:14:15.539,440.10,319.28
2026-03-04 15:14:15.622,419.18,308.48
2026-03-04 15:14:15.708,398.93,309.83
2026-03-04 15:14:15.791,398.92,309.15
2026-03-04 15:14:15.875,405.68,311.85
2026-03-04 15:14:15.960,434.03,315.90
2026-03-04 15:14:16.046,471.15,340.20
2026-03-04 15:14:16.134,507.60,345.60
2026-03-04 15:14:16.241,517.05,341.55
2026-03-04 15:14:16.325,493.43,340.54
2026-03-04 15:14:16.411,491.06,293.62
2026-03-04 15:14:16.497,515.36,270.68
2026-03-04 15:14:16.580,561.60,256.16
2026-03-04 15:14:16.667,544.72,293.62
2026-03-04 15:14:16.753,540.34,353.02
2026-03-04 15:14:16.840,490.73,375.30
2026-03-04 15:14:16.924,480.26,377.33
2026-03-04 15:14:17.010,451.24,347.29
2026-03-04 15:14:17.100,467.44,293.62
2026-03-04 15:14:17.184,479.25,271.35
2026-03-04 15:14:17.272,504.90,261.56
2026-03-04 15:14:17.358,480.26,272.70
2026-03-04 15:14:17.442,435.38,310.50
2026-03-04 15:14:17.526,409.73,335.14
2026-03-04 15:14:17.612,364.50,341.21
2026-03-04 15:14:17.695,332.44,328.05
2026-03-04 15:14:17.778,328.73,320.29
2026-03-04 15:14:17.862,346.95,302.74
2026-03-04 15:14:17.947,357.08,305.10
2026-03-04 15:14:18.029,380.70,307.80
2026-03-04 15:14:18.120,398.25,364.50
2026-03-04 15:14:18.204,388.12,331.43
2026-03-04 15:14:18.337,360.45,320.62
2026-03-04 15:14:18.420,312.19,300.38
2026-03-04 15:14:18.505,257.51,289.91
2026-03-04 15:14:18.591,237.60,321.30
2026-03-04 15:14:18.676,244.35,333.79
2026-03-04 15:14:18.762,314.04,358.43
2026-03-04 15:14:18.930,499.16,363.83
2026-03-04 15:14:20.206,335.31,311.85
2026-03-04 15:14:28.375,154.66,476.55
2026-03-04 15:14:40.402,628.43,187.48
2026-03-04 15:14:40.485,174.49,375.98
2026-03-04 15:14:40.572,317.42,332.44
2026-03-04 15:14:40.828,680.40,86.40
2026-03-04 15:14:40.991,193.39,421.88
2026-03-04 15:14:41.439,211.95,463.05
2026-03-04 15:14:41.522,207.90,464.74
2026-03-04 15:14:41.608,205.03,444.83
2026-03-04 15:14:41.962,694.58,338.51
2026-03-04 15:14:42.057,693.23,333.45
2026-03-04 15:14:42.708,141.75,560.22
2026-03-04 15:14:42.874,213.98,556.20
2026-03-04 15:14:43.149,598.05,568.06
2026-03-04 15:14:43.230,630.45,565.36
2026-03-04 15:14:43.579,240.98,373.28
2026-03-04 15:14:43.664,341.89,560.25
2026-03-04 15:14:43.754,349.65,555.86
2026-03-04 15:14:44.097,650.36,332.78
2026-03-04 15:14:44.190,650.70,332.78
2026-03-04 15:14:44.462,316.91,557.89
2026-03-04 15:14:44.548,397.24,338.18
2026-03-04 15:14:44.647,400.95,330.41
2026-03-04 15:14:44.897,330.92,372.94
2026-03-04 15:14:44.980,529.20,336.83
2026-03-04 15:14:45.074,528.53,336.15
