timestamp,center_x,center_y
2026-02-18 09:32:16.807,166.05,302.06
2026-02-18 09:32:21.219,208.07,510.64
2026-02-18 09:32:21.315,210.26,508.95
2026-02-18 09:32:24.953,749.25,351.67
2026-02-18 09:32:25.044,627.08,108.00
2026-02-18 09:32:25.131,613.24,122.85
2026-02-18 09:32:25.385,88.51,157.95
2026-02-18 09:32:25.468,169.76,209.42
2026-02-18 09:32:25.573,179.21,213.98
2026-02-18 09:32:25.968,708.08,376.99
2026-02-18 09:32:26.067,702.68,375.98
2026-02-18 09:32:26.152,702.00,369.90
2026-02-18 09:32:26.515,205.71,265.95
2026-02-18 09:32:26.614,197.61,262.24
2026-02-18 09:32:26.708,205.20,264.26
2026-02-18 09:32:26.879,838.35,568.40
2026-02-18 09:32:26.963,634.16,365.17
2026-02-18 09:32:27.055,639.90,362.81
2026-02-18 09:32:27.326,163.60,173.81
2026-02-18 09:32:27.408,146.31,170.94
2026-02-18 09:32:27.506,146.48,170.10
2026-02-18 09:32:27.785,39.02,606.83
2026-02-18 09:32:27.866,687.83,440.78
2026-02-18 09:32:27.964,690.53,448.88
2026-02-18 09:32:28.259,528.53,207.90
2026-02-18 09:32:28.341,515.03,209.08
2026-02-18 09:32:28.427,512.33,208.91
2026-02-18 09:32:28.768,419.51,390.49
2026-02-18 09:32:28.860,419.18,389.81
2026-02-18 09:32:29.121,459.00,282.83
2026-02-18 09:32:29.293,456.98,278.78
2026-02-18 09:32:29.392,450.23,303.75
2026-02-18 09:32:29.506,433.69,307.12
2026-02-18 09:32:29.601,422.21,316.91
2026-02-18 09:32:29.693,414.45,298.35
2026-02-18 09:32:29.779,415.46,287.89
2026-02-18 09:32:29.863,409.73,259.88
2026-02-18 09:32:29.957,414.45,257.85
2026-02-18 09:32:30.051,425.25,257.85
2026-02-18 09:32:30.139,428.62,268.65
2026-02-18 09:32:30.266,427.95,280.12
2026-02-18 09:32:30.351,421.54,284.85
2026-02-18 09:32:30.434,415.80,262.58
2026-02-18 09:32:30.529,413.78,258.19
2026-02-18 09:32:30.622,419.18,251.44
2026-02-18 09:32:30.707,428.29,263.92
2026-02-18 09:32:30.790,432.68,272.02
2026-02-18 09:32:30.874,438.08,282.15
2026-02-18 09:32:30.964,448.54,288.23
2026-02-18 09:32:31.058,453.60,290.25
2026-02-18 09:32:31.148,460.01,278.10
2026-02-18 09:32:31.246,463.73,261.90
2026-02-18 09:32:31.337,456.98,257.51
2026-02-18 09:32:31.424,457.65,261.56
2026-02-18 09:32:31.516,454.95,276.75
2026-02-18 09:32:31.714,433.69,320.62
2026-02-18 09:32:31.797,422.89,343.58
2026-02-18 09:32:31.881,413.10,347.62
2026-02-18 09:32:31.968,405.68,351.68
2026-02-18 09:32:32.061,390.83,332.44
2026-02-18 09:32:32.158,387.45,318.60
2026-02-18 09:32:32.255,376.65,305.44
2026-02-18 09:32:32.350,365.17,311.17
2026-02-18 09:32:32.448,348.30,319.61
