timestamp,center_x,center_y
2026-02-18 09:58:40.909,488.70,86.23
2026-02-18 09:58:41.005,491.06,81.34
2026-02-18 09:58:41.098,488.03,87.08
2026-02-18 09:58:41.410,392.85,567.67
2026-02-18 09:58:41.506,387.45,557.55
2026-02-18 09:58:41.603,380.03,544.73
2026-02-18 09:58:41.896,461.03,79.14
2026-02-18 09:58:41.992,458.33,69.53
2026-02-18 09:58:42.085,453.60,64.97
2026-02-18 09:58:42.374,398.25,506.59
2026-02-18 09:58:42.469,398.93,520.09
2026-02-18 09:58:42.568,398.93,516.38
2026-02-18 09:58:42.665,451.24,283.84
2026-02-18 09:58:42.773,454.27,205.37
2026-02-18 09:58:42.869,475.88,125.04
2026-02-18 09:58:42.979,469.46,182.25
2026-02-18 09:58:43.168,460.35,369.90
2026-02-18 09:58:43.274,470.48,439.76
2026-02-18 09:58:43.378,512.66,404.33
2026-02-18 09:58:43.568,541.01,298.01
2026-02-18 09:58:43.662,527.18,277.09
2026-02-18 09:58:43.958,401.96,344.93
2026-02-18 09:58:44.061,380.70,344.93
2026-02-18 09:58:44.176,356.40,331.43
2026-02-18 09:58:44.283,377.33,302.06
2026-02-18 09:58:44.382,377.66,305.10
2026-02-18 09:58:44.486,384.75,309.49
2026-02-18 09:58:44.582,364.50,314.89
2026-02-18 09:58:44.677,347.62,334.80
2026-02-18 09:58:44.784,322.31,333.45
2026-02-18 09:58:44.908,316.58,335.48
2026-02-18 09:58:45.009,336.83,322.31
2026-02-18 09:58:45.104,332.44,313.20
2026-02-18 09:58:45.198,356.40,304.42
2026-02-18 09:58:45.301,362.48,304.43
2026-02-18 09:58:45.428,401.62,318.26
2026-02-18 09:58:45.535,426.60,336.83
2026-02-18 09:58:45.629,463.05,335.81
2026-02-18 09:58:45.724,488.70,334.12
2026-02-18 09:58:45.837,522.45,338.85
2026-02-18 09:58:45.937,537.98,329.40
2026-02-18 09:58:46.041,557.55,337.50
2026-02-18 09:58:46.140,565.65,328.73
