timestamp,center_x,center_y
2026-02-18 10:05:50.324,240.98,92.39
2026-02-18 10:05:50.421,247.89,90.62
2026-02-18 10:05:50.734,551.48,486.68
2026-02-18 10:05:50.827,547.09,479.25
2026-02-18 10:05:51.254,329.91,170.10
2026-02-18 10:05:51.414,321.30,156.43
2026-02-18 10:05:51.608,406.69,276.08
2026-02-18 10:05:51.714,453.60,352.35
2026-02-18 10:05:51.814,452.25,337.84
2026-02-18 10:05:51.917,450.56,321.64
2026-02-18 10:05:52.019,410.40,262.58
2026-02-18 10:05:52.127,400.28,253.80
2026-02-18 10:05:52.227,389.14,238.28
2026-02-18 10:05:52.335,396.56,252.45
2026-02-18 10:05:52.437,406.35,270.34
2026-02-18 10:05:52.566,411.75,294.30
2026-02-18 10:05:52.677,401.62,283.50
2026-02-18 10:05:52.775,382.39,248.74
2026-02-18 10:05:52.872,379.69,234.56
2026-02-18 10:05:52.973,387.45,238.95
2026-02-18 10:05:53.105,400.95,259.20
2026-02-18 10:05:53.206,415.12,293.62
2026-02-18 10:05:53.309,418.16,307.46
2026-02-18 10:05:53.407,410.40,319.61
2026-02-18 10:05:53.512,398.93,322.31
2026-02-18 10:05:53.618,384.75,325.35
2026-02-18 10:05:53.716,362.48,331.43
2026-02-18 10:05:53.813,349.99,333.45
2026-02-18 10:05:53.924,338.51,334.12
2026-02-18 10:05:54.021,320.29,341.55
2026-02-18 10:05:54.135,298.52,341.89
2026-02-18 10:05:54.238,296.33,330.75
2026-02-18 10:05:54.344,283.16,325.69
2026-02-18 10:05:54.438,280.12,328.73
2026-02-18 10:05:54.545,265.95,337.50
2026-02-18 10:05:54.659,279.45,355.05
2026-02-18 10:05:54.788,291.94,379.35
2026-02-18 10:05:54.883,343.24,393.53
2026-02-18 10:05:55.001,357.08,401.62
2026-02-18 10:05:55.106,389.14,390.15
2026-02-18 10:05:55.206,425.25,356.40
2026-02-18 10:05:55.304,444.83,349.65
2026-02-18 10:05:55.402,460.01,338.17
2026-02-18 10:05:55.495,461.70,343.58
2026-02-18 10:05:55.640,458.33,353.03
2026-02-18 10:05:55.731,427.28,376.31
2026-02-18 10:05:55.826,433.35,388.12
2026-02-18 10:05:55.919,421.20,393.53
2026-02-18 10:05:56.012,428.62,389.14
2026-02-18 10:05:56.124,435.04,373.95
2026-02-18 10:05:56.221,443.48,358.43
2026-02-18 10:05:56.317,444.49,349.65
2026-02-18 10:05:56.411,440.10,337.50
2026-02-18 10:05:56.513,437.40,331.42
2026-02-18 10:05:56.610,432.68,313.20
2026-02-18 10:05:56.730,433.01,306.11
2026-02-18 10:05:56.824,430.31,278.10
2026-02-18 10:05:56.919,430.65,262.91
2026-02-18 10:05:57.013,427.28,238.95
2026-02-18 10:05:57.130,425.92,245.03
2026-02-18 10:05:57.241,425.92,267.30
2026-02-18 10:05:57.344,429.30,270.34
2026-02-18 10:05:57.455,430.65,264.26
2026-02-18 10:05:57.579,430.99,222.08
2026-02-18 10:05:57.685,451.58,180.23
2026-02-18 10:05:57.784,455.62,173.31
2026-02-18 10:05:57.877,466.42,182.93
2026-02-18 10:05:57.974,469.80,214.31
2026-02-18 10:05:58.082,470.48,285.52
2026-02-18 10:05:58.197,457.65,305.78
2026-02-18 10:05:58.294,451.24,330.75
2026-02-18 10:05:58.390,473.85,316.91
2026-02-18 10:05:58.494,506.59,302.74
2026-02-18 10:05:58.603,535.95,290.93
2026-02-18 10:05:58.702,561.60,275.40
2026-02-18 10:05:58.806,593.66,277.09
2026-02-18 10:05:58.902,612.90,290.93
2026-02-18 10:05:59.001,634.50,316.58
2026-02-18 10:05:59.127,635.85,343.58
2026-02-18 10:05:59.229,606.49,389.81
2026-02-18 10:05:59.331,601.43,400.28
2026-02-18 10:05:59.630,498.83,360.79
2026-02-18 10:05:59.730,495.45,384.75
2026-02-18 10:05:59.839,484.65,398.25
2026-02-18 10:05:59.936,452.93,393.19
2026-02-18 10:06:00.035,427.95,385.42
2026-02-18 10:06:00.137,406.35,379.35
2026-02-18 10:06:00.241,400.28,379.35
2026-02-18 10:06:00.338,399.26,389.14
2026-02-18 10:06:00.444,420.53,400.28
2026-02-18 10:06:00.544,434.70,397.24
2026-02-18 10:06:00.657,440.10,390.15
2026-02-18 10:06:00.753,464.40,366.19
2026-02-18 10:06:00.864,486.00,350.33
2026-02-18 10:06:00.961,511.65,329.74
2026-02-18 10:06:01.091,513.67,325.35
2026-02-18 10:06:01.205,502.20,317.25
2026-02-18 10:06:01.302,510.98,312.86
2026-02-18 10:06:01.401,512.33,309.15
2026-02-18 10:06:01.497,523.12,309.15
2026-02-18 10:06:01.598,519.75,313.20
2026-02-18 10:06:01.695,515.70,336.83
2026-02-18 10:06:01.791,510.64,344.92
2026-02-18 10:06:01.888,506.25,350.33
2026-02-18 10:06:01.984,501.53,351.00
2026-02-18 10:06:02.086,479.93,332.10
2026-02-18 10:06:02.289,436.73,268.31
2026-02-18 10:06:02.517,429.30,204.19
2026-02-18 10:06:02.634,427.28,198.96
2026-02-18 10:06:02.941,405.34,254.48
2026-02-18 10:06:03.044,397.58,232.03
2026-02-18 10:06:03.165,391.50,211.61
2026-02-18 10:06:03.271,406.69,211.61
2026-02-18 10:06:03.368,404.66,241.31
2026-02-18 10:06:03.591,393.53,285.53
2026-02-18 10:06:03.695,382.05,288.56
2026-02-18 10:06:03.796,356.74,276.08
2026-02-18 10:06:03.894,341.89,280.12
2026-02-18 10:06:04.001,333.11,294.64
2026-02-18 10:06:04.105,330.75,310.16
2026-02-18 10:06:04.219,325.35,324.34
2026-02-18 10:06:04.317,309.15,317.93
2026-02-18 10:06:04.423,296.33,316.58
2026-02-18 10:06:04.526,293.96,319.28
2026-02-18 10:06:04.639,279.45,320.62
2026-02-18 10:06:04.736,280.80,327.38
2026-02-18 10:06:04.832,287.89,334.80
2026-02-18 10:06:04.931,293.62,337.50
2026-02-18 10:06:05.025,297.34,350.33
2026-02-18 10:06:05.133,299.70,363.15
2026-02-18 10:06:05.235,308.14,364.16
2026-02-18 10:06:05.333,320.96,377.33
2026-02-18 10:06:05.548,343.24,391.50
2026-02-18 10:06:05.651,395.55,409.39
2026-02-18 10:06:05.765,412.42,436.05
2026-02-18 10:06:05.860,442.80,424.58
2026-02-18 10:06:05.955,456.30,404.66
2026-02-18 10:06:06.179,483.98,329.74
2026-02-18 10:06:06.276,746.55,198.45
2026-02-18 10:06:06.658,434.70,470.48
2026-02-18 10:06:07.047,747.22,290.25
2026-02-18 10:06:07.152,776.25,286.88
2026-02-18 10:06:07.555,504.90,419.85
2026-02-18 10:06:07.665,533.25,429.30
2026-02-18 10:06:07.983,565.65,300.38
2026-02-18 10:06:08.081,575.78,303.08
2026-02-18 10:06:08.182,576.11,303.75
2026-02-18 10:06:08.489,404.66,357.75
2026-02-18 10:06:08.592,403.65,358.43
2026-02-18 10:06:08.710,404.33,353.03
2026-02-18 10:06:08.820,459.34,313.88
2026-02-18 10:06:08.972,471.15,298.35
2026-02-18 10:06:09.067,471.83,289.58
2026-02-18 10:06:09.170,455.62,286.20
2026-02-18 10:06:09.269,435.38,304.76
2026-02-18 10:06:09.372,418.50,306.11
2026-02-18 10:06:09.469,418.50,317.25
2026-02-18 10:06:09.570,421.54,311.18
2026-02-18 10:06:09.674,422.55,306.45
2026-02-18 10:06:09.770,430.65,297.34
2026-02-18 10:06:09.865,430.65,279.45
2026-02-18 10:06:09.960,429.30,271.35
2026-02-18 10:06:10.059,427.28,265.95
2026-02-18 10:06:10.163,421.54,270.34
2026-02-18 10:06:10.273,420.19,279.11
2026-02-18 10:06:10.386,417.83,272.03
2026-02-18 10:06:10.499,422.89,261.90
2026-02-18 10:06:10.610,420.86,249.41
2026-02-18 10:06:10.718,421.20,253.12
2026-02-18 10:06:10.825,420.86,251.44
2026-02-18 10:06:10.921,419.18,263.25
2026-02-18 10:06:11.020,420.53,253.46
2026-02-18 10:06:11.123,425.25,265.28
2026-02-18 10:06:11.240,426.26,267.98
2026-02-18 10:06:11.338,426.60,258.53
2026-02-18 10:06:11.438,425.93,259.88
2026-02-18 10:06:11.645,423.90,270.00
2026-02-18 10:06:11.742,415.12,277.43
2026-02-18 10:06:11.936,398.59,319.95
2026-02-18 10:06:12.031,381.71,345.60
2026-02-18 10:06:12.138,372.60,359.78
2026-02-18 10:06:12.241,380.03,376.65
2026-02-18 10:06:12.345,394.88,380.03
2026-02-18 10:06:12.461,415.80,377.33
2026-02-18 10:06:12.575,426.60,386.44
2026-02-18 10:06:12.713,428.62,388.80
2026-02-18 10:06:12.809,426.60,393.86
2026-02-18 10:06:12.907,428.62,413.78
2026-02-18 10:06:13.005,421.20,420.53
2026-02-18 10:06:13.113,419.85,414.11
2026-02-18 10:06:13.223,427.61,397.58
2026-02-18 10:06:13.330,441.11,382.39
2026-02-18 10:06:13.430,438.08,386.78
2026-02-18 10:06:13.544,431.33,384.08
2026-02-18 10:06:13.674,425.25,379.69
2026-02-18 10:06:13.771,417.15,381.71
2026-02-18 10:06:13.866,407.03,377.33
2026-02-18 10:06:13.968,409.05,377.66
2026-02-18 10:06:14.063,424.91,361.80
2026-02-18 10:06:14.201,452.93,340.54
2026-02-18 10:06:14.296,513.00,303.41
2026-02-18 10:06:14.424,543.71,291.26
2026-02-18 10:06:14.541,540.68,280.80
2026-02-18 10:06:14.645,545.40,278.78
2026-02-18 10:06:14.744,530.89,303.75
2026-02-18 10:06:14.846,534.26,319.28
2026-02-18 10:06:14.995,536.29,334.12
2026-02-18 10:06:15.098,536.29,344.25
2026-02-18 10:06:15.206,554.51,349.65
2026-02-18 10:06:15.309,551.48,355.39
2026-02-18 10:06:15.413,541.35,337.50
2026-02-18 10:06:15.522,506.25,335.48
2026-02-18 10:06:15.828,341.55,299.03
2026-02-18 10:06:15.930,317.92,303.75
2026-02-18 10:06:16.130,371.59,328.05
2026-02-18 10:06:16.239,388.12,325.69
2026-02-18 10:06:16.336,360.45,315.90
2026-02-18 10:06:16.435,332.27,300.71
2026-02-18 10:06:16.528,301.05,280.12
